name,count
Quiet Disrepair,1
Frenzied Geistblaster,1
"Jor Kadeen, First Goldwarden",4
Gatebreaker Ram,1
Scour the Desert,4
Chivalric Alliance,1
Shadow Prophecy,3
Shipwreck Looter,3
Spectacular Skywhale,2
"Sorin, Solemn Visitor",3
Peek,2
Entomber Exarch,2
Crypt of the Eternals,4
Charforger,3
Rushing-Tide Zubera,1
"Koma, Cosmos Serpent // Koma, Cosmos Serpent",2
"Gale, Conduit of the Arcane",2
"Balmor, Battlemage Captain",4
"Koll, the Forgemaster",4
Inkshape Demonstrator,3
Era of Innovation,3
Spike Weaver,3
Primitive Etchings,2
Builder's Bane,1
Compy Swarm,4
Serra Angel Avatar,3
"Celes, Rune Knight",2
Showdown of the Skalds,4
"Iron Fist, Hero for Hire",2
"Cecil, Dark Knight // Cecil, Redeemed Paladin",3
"Tolsimir, Midnight's Light",2
"Baral, Chief of Compliance",1
Subterfuge,4
"Jack of Hearts, Volatile Hero",1
Courser of Kruphix,2
Wilderness Elemental,3
Refreshing Elixir,3
Heartless Pillage,4
Wrinkly Monkey Shenanigans,2
Gran-Gran,1
Cosmic Crucible,2
Merrow Skyswimmer,1
The Wandering Emperor,3
Trostani's Judgment,3
Mysterious Tome // Chilling Chronicle,1
Investigator's Journal,2
Stormscale Wurm,2
Heartfire Immolator,1
Deathgreeter,4
Undying Rage,1
Lightshell Duo,2
Bedlam Reveler,4
Graverobber Spider,2
Brain Pry,1
Rolling Stones,1
Goblinslide,4
Dora Milaje Elite,4
"Rona, Sheoldred's Faithful",4
Riku and Riku,1
"Emry, Lurker of the Loch",1
Treasured Find,1
"Teferi, Time Raveler",1
Nesting Bot,2
Divine Congregation,3
Sol'Kanar the Tainted,2
"Teferi, Who Slows the Sunset",3
Soul of Windgrace,3
Deadly Allure,2
Baxter Stockman,1
Rofellos's Gift,2
A-Skemfar Avenger,4
Gerrard's Verdict,3
Soulblade Djinn,1
Roilmage's Trick,3
Valakut Exploration,2
Ashnod's Harvester,4
Navigator's Compass,3
Invading Manticore,2
Chrome Courier,1
Expose Evil,2
"Feather, the Redeemed",2
"Ral, Izzet Viceroy",3
Diabolic Intent,1
Warehouse Tabby,4
"Runo Stromkirk // Krothuss, Lord of the Deep",2
Gisa's Favorite Shovel,1
Maul of the Skyclaves,4
"Kitsa, Otterball Elite",4
Predator's Howl,1
Careless Celebrant,3
Palantír of Orthanc,3
Seize the Storm,3
Mnemonic Wall,3
Gorbag of Minas Morgul,3
Change of Fortune,1
"Monica Rambeau // Photon, Living Light",3
"Ambergris, Agent of Progress",3
Parallel Thoughts,4
Dragon Typhoon,2
Electric Revelation,2
Struggle for Project Purity,2
Marble Chalice,4
Elite Guardmage,1
Shamanic Revelation,2
Lucky the Pizza Dog,1
Mystic Denial,1
Desolate Lighthouse,2
Chambered Nautilus,2
Grizzled Angler // Grisly Anglerfish,1
Mystic Mischief,2
The Archenemy's Charm,3
Ghost Lantern // Bind Spirit,1
Armed with Proof,4
Spiked Pit Trap,3
Repeated Reverberation,3
"Zurzoth, Chaos Rider",2
Perennial Gravewarden,2
Ticket Booth // Tunnel of Hate,2
Kefnet the Mindful,1
Pride Sovereign,3
Thieving Otter,3
Redrock Sentinel,1
Garruk Wildspeaker,4
Ghitu Chronicler,3
Library of Leng,2
Magnus the Red,3
"Tolabow, Loch Rascal",3
Necrotic Fumes,2
Erdwal Ripper,2
Knockout Blow,2
"Imoen, Wise Trickster",2
"Talrand, Sky Summoner",4
Fallaji Excavation,4
Thancred Waters,3
Family's Favor,3
Idol of Oblivion,3
Sentinel Sarah Lyons,3
Case of the Crimson Pulse,3
Tempest Efreet,4
The Modern Age // Vector Glider,4
Tempest Technique,3
"Ajani, Caller of the Pride",4
"Ayli, Eternal Pilgrim",3
Ravenous Daggertooth,2
Relic of Legends,3
Alchemist's Assistant,1
Bitter Chill,3
Mage Slayer,4
Jeskai Student,3
Talent of the Telepath,3
Curse of Surveillance,1
Lucky Clover,1
Rolling Hamsphere,1
Lunatic Pandora,3
Jeskai Monument,3
"Goldbug, Humanity's Ally // Goldbug, Scrappy Scout",1
Spreading Insurrection,3
Deliberate,3
Goblin Instigator,2
C.A.M.P.,2
Voracious Fell Beast,3
Sphinx's Disciple,4
The Wilds,1
Spellrune Painter // Spellrune Howler,3
Vigorous Charge,4
Devouring Swarm,1
Intuition,2
Guarded Heir,4
Dermotaxi,2
Gríma Wormtongue,3
"Black Bolt, Inhuman King",3
Hearth Elemental // Stoke Genius,4
Bumi's Feast Lecture,1
Sudden Strength,2
Hour of Defeat,4
Secret Rendezvous,4
Scroll of the Masters,3
Screeching Drake,2
Encroaching Dragonstorm,4
Echoing Boon,1
Repentant Vampire,2
South Pole Voyager,4
Spit Flame,2
Dance of the Dead,3
Beetleback Chief,2
Griselbrand,3
Complaints Clerk,3
I Am Iron Man,4
Geistwave,4
"Fixer, Techno Terror",3
"Raph & Mikey, Troublemakers // Raph & Mikey, Troublemakers",4
Robe of the Archmagi,1
Vault Skirge,4
Diabolical Salvation,2
Sharuum the Hegemon,4
Spider Spawning,2
Potion of Healing,1
Geist of Regret,2
Stormscape Master,1
Time Spiral,1
Time Reaper,4
Zimone's Homework,4
Eager First-Year,3
Panicked Bystander // Cackling Culprit,4
Ichor Synthesizer,2
A-Leyline of Resonance,3
Aven Heartstabber,4
Rushing-Tide Zubera,2
Dream Beavers,3
"Ambergris, Agent of Destruction",2
Elemental Eruption,4
The Spirit Oasis,1
Hooded Blightfang,1
"Icingdeath, Frost Tyrant",1
Chainer's Edict,1
Ahriman,3
Suspicious Stowaway // Seafaring Werewolf,4
Namor the Sub-Mariner,4
"The Mechanist, Aerial Artisan",3
Chalk Outline,3
Barrow Witches,2
I Am Never Alone,3
"Minsc & Boo, Timeless Heroes",3
Rabid Attack,3
Bighorner Rancher,3
Let's Play a Game,4
Rofellos,2
Midnight Snack,2
Blackcleave Cliffs,4
Time Reversal,1
"Jor Kadeen, First Goldwarden",2
Forum of Amity,4
Decaying Soil,1
Ox of Agonas,3
Piercing Exhale,3
Piercing Exhale,2
Witch's Mark,1
"Kiora, the Rising Tide",3
"Brinelin, the Moon Kraken",3
Pyretic Charge,4
Professional Face-Breaker,3
Demonic Consultation,1
All-Fates Scroll,2
Velomachus Lorehold,2
"Gale, Waterdeep Prodigy",2
Punchcard // Punchcard,3
"Tombstone, Career Criminal",2
Progenitor Exarch,2
Unleash the Inferno,2
"Kirri, Talented Sprout",3
Psychic Frog,2
Witherbloom Pledgemage,2
Ogre-Head Helm,1
Archival Whorl,3
"Varina, Lich Queen",3
Suffer the Past,4
"Umaro, Raging Yeti",3
"Thanos, Death's Consort",2
"Abdel Adrian, Gorion's Ward",4
Once More with Feeling,4
Friendly Ghost,4
Drown in Filth,1
Runehorn Hellkite,3
Hopeful Vigil,3
"Rusko, Clockmaker",4
Panglacial Shinobi,2
Murmuring Mystic,3
Flurry of Wings,1
Etched Familiar,2
"Lily Bowen, Raging Grandma",2
Terisiare's Devastation,4
Diamond Valley,1
Enigma Drake,3
Pest,1
Stoic Grove-Guide,4
Wispmare,3
Case the Joint,3
Evil Boros Charm,4
Compulsory Rest,1
